event_id,event_date,query,title,url,domain,language,sourcecountry,seendate,socialimage
AIT-2025-01-003,2025-01-20,DeepSeek R1,GitHub - deepseek - ai / DeepSeek - R1,https://github.com/deepseek-ai/DeepSeek-R1,github.com,English,United States,20250120T134500Z,https://opengraph.githubassets.com/bc0e8895d6c306bb734fa9ca9e0a9719de7629a6a2aee74f1a0ed12d9c942ccd/deepseek-ai/DeepSeek-R1
AIT-2025-01-003,2025-01-20,DeepSeek R1,Chinese AI firm DeepSeek unveils open - source reasoning model DeepSeek - R1 ; beats OpenAI o1,https://www.thehindu.com/sci-tech/technology/chinese-ai-firm-deepseek-unveils-open-source-reasoning-model-deepseek-r1-beats-openais-o1/article69127316.ece,thehindu.com,English,India,20250122T111500Z,https://th-i.thgim.com/public/incoming/aot636/article69127295.ece/alternates/LANDSCAPE_1200/iStock-1477981192.jpg
AIT-2025-01-003,2025-01-20,DeepSeek R1,Deepseek R1 vs Llama 3 . 2 vs ChatGPT o1 : Which AI model wins ?,https://www.digit.in/features/general/deepseek-r1-vs-llama-32-vs-chatgpt-o1-which-ai-model-wins.html,digit.in,English,India,20250125T111500Z,https://static.digit.in/deepseek-r1-meta-llama-3-2-openai-o1-chatgpt-model-comparison.png
AIT-2025-01-003,2025-01-20,DeepSeek R1,"Open Source DeepSeek R1 Matches OpenAI O1 Math , Code and Reasoning",https://www.nextbigfuture.com/2025/01/deepseek-r1.html,nextbigfuture.com,English,China,20250121T193000Z,https://nextbigfuture.s3.amazonaws.com/uploads/2025/01/Screenshot-2025-01-21-at-8.55.27-AM.jpg
AIT-2025-01-003,2025-01-20,DeepSeek R1,Open - source DeepSeek - R1 uses pure reinforcement learning to match OpenAI o1 at 95 % less cost,https://venturebeat.com/ai/open-source-deepseek-r1-uses-pure-reinforcement-learning-to-match-openai-o1-at-95-less-cost/,venturebeat.com,English,United States,20250120T203000Z,https://venturebeat.com/wp-content/uploads/2024/07/nuneybits_A_marathon_race_track_with_various_AI_robots_lined_up_b7eb2227-5c1a-4533-828a-bf2a77bd95ad-transformed.webp??&strip=all
AIT-2025-01-003,2025-01-20,DeepSeek R1,AI revolution takes center stage as DeepSeek - R1 model demonstrates advanced reasoning capabilities – NaturalNews . com,https://www.naturalnews.com/2025-01-23-ai-revolution-takes-center-stage-deepseek-r1-model-advanced-reasoning-capabilities.html,naturalnews.com,English,United States,20250124T010000Z,https://www.naturalnews.com/wp-content/uploads/sites/91/2025/01/2025-01-23-BBN-AI-REASONING.jpg
AIT-2025-01-003,2025-01-20,DeepSeek R1,"DeepSeek - R1 , BLOOM and Falcon AI : Exploring lesser - known open source LLMs",https://www.digit.in/features/general/deepseek-r1-bloom-and-falcon-ai-exploring-lesser-known-open-source-llms.html,digit.in,English,India,20250121T144500Z,https://static.digit.in/deepseek-bloom-falcon-open-source-llm-ai.png
AIT-2025-01-003,2025-01-20,DeepSeek R1,Chinese AI startup DeepSeek unveils open - source model to rival OpenAI o1,https://www.computerworld.com/article/3808579/chinese-ai-startup-deepseek-unveils-open-source-model-to-rival-openai-o1.html,computerworld.com,English,United States,20250123T133000Z,https://www.computerworld.com/wp-content/uploads/2025/01/3808579-0-30584100-1737630635-Baidu.jpg?quality=50&strip=all
AIT-2025-01-003,2025-01-20,DeepSeek R1,China DeepSeek AI might be smarter than OpenAI smartest AI,https://mashable.com/article/deepseek-ai-hands-on,mashable.com,English,United States,20250122T171500Z,https://helios-i.mashable.com/imagery/articles/010v4CWZNq3BBOBQttJt8iB/hero-image.fill.size_1200x675.v1737552111.png
AIT-2025-01-003,2025-01-20,DeepSeek R1,DeepSeek claims its reasoning model beats OpenAI o1 on certain benchmarks,https://techcrunch.com/2025/01/20/deepseek-claims-its-reasoning-model-beats-openais-o1-on-certain-benchmarks/,techcrunch.com,English,United States,20250120T181500Z,https://techcrunch.com/wp-content/uploads/2024/04/GettyImages-1652364481.jpg
AIT-2025-01-003,2025-01-20,DeepSeek R1,Why everyone in AI is freaking out about DeepSeek,https://venturebeat.com/ai/why-everyone-in-ai-is-freaking-out-about-deepseek/,venturebeat.com,English,United States,20250124T041500Z,https://venturebeat.com/wp-content/uploads/2025/01/cfr0z3n_silhouettes_of_group_of_diverse_software_engineers_st_1de64709-0bee-40eb-8538-b2235f565c3a_1.png??&strip=all
AIT-2025-01-003,2025-01-20,DeepSeek R1,"TikTok owner ByteDance , DeepSeek lead Chinese push in AI reasoning",https://economictimes.indiatimes.com/tech/technology/tiktok-owner-bytedance-deepseek-lead-chinese-push-in-ai-reasoning/articleshow/117456676.cms,economictimes.indiatimes.com,English,India,20250122T114500Z,"https://img.etimg.com/thumb/msid-117456726,width-1200,height-630,imgsize-974930,overlay-ettech/articleshow.jpg"
